timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
530388405.14,23.21,0,23.07,0.05,0,0,644.12,330.86,642.3,330.86,
530388395.12,12.64,0.01,12.33,0.16,0,0,576.01,205.27,578.74,205.27,
530388385.10,55.83,0,55.18,0.05,0,0,1809.62,1135.82,1811.01,1135.82,
530388375.07,34.23,0.17,34.62,17.18,0,0,546.91,310.84,593.37,310.84,
530388365.04,28.76,0.01,28.39,1.28,0,0,2337.44,429.3,2337.81,429.3,
530388355.02,74.58,0,74.35,0,0,0,2136.52,1663.28,2134.78,1663.28,
530388344.95,24.18,0,24.88,0.02,0,0,2438.34,747.73,2499.21,747.73,
530388334.88,19.49,0.08,18.3,0.06,0,0,1446.25,811.95,1531.69,811.94,
530388324.81,18.06,0,16.23,0,0,0,2322.56,797.5,2326.65,797.5,
530388314.72,17.64,0,18.49,0.04,0,0,2313.75,797.5,2322.15,797.5,
530388304.68,199.24,10.06,195.41,162.03,0,0,1713.02,611.21,1703.39,611.21,
530388294.65,42.87,0,43.15,0,0,0,2557.55,1051.22,2554.19,1051.22,
530388284.63,17.06,0,15.63,0,0,0,2263,401.86,2278.9,401.86,
530388274.56,23.51,0,23.3,0,0,0,1786.06,1351.43,1856.31,551.43,
530388264.49,26.25,0,25.37,0.05,0,0,1019.1,876.39,1031.2,476.39,
530388254.42,11.25,0,11.08,0,0,0,488.02,339.14,488.49,189.14,
530388244.35,12.92,0,12.72,0.01,0,0,359.22,115.62,356.26,115.62,
530388234.28,20.51,0,21.51,0,0,0,740.34,314.55,736.95,314.55,
530388224.21,23.56,0.02,19.76,0.58,0,0,303.03,154.49,301.73,154.49,
530388214.14,35.33,0,36.59,0.01,0,0,1518.53,684.77,1515.3,684.77,
530388204.07,31.92,0,32.21,0,0,0,1063.09,740.67,1035.35,740.67,
530388194.00,12.28,0,12.12,0,0,0,1107.78,342.6,1088.85,342.6,
530388183.93,48.88,0,48.58,0.01,0,0,2706.44,1016.7,2711.69,1016.7,
530388173.85,60.41,0,59.93,0,0,0,2440.53,1382.62,2439.91,1382.62,
530388163.78,17.34,0,16.18,0.01,0,0,1811.69,588.48,1719.04,588.48,
530388153.71,15.12,0,14.06,0,0,0,2145.31,710.83,2130.94,710.83,
530388143.63,16.1,0,17.02,0.01,0,0,2336.2,792.4,2334.76,792.42,
530388133.54,18.58,0,17.59,0.03,0,0,2328.68,791.65,2341.36,791.65,
530388123.46,219.46,10.27,216.71,165.02,0,0,1470.69,1154.87,1471.83,1154.87,
530388113.44,15.02,0,14.58,0.04,0,0,2995.18,462.39,2997.19,462.39,
530388103.42,29.95,0.04,31.08,1.75,0,0,1381.41,1256.58,1371.56,456.57,
530388093.39,20.47,0,18.98,0.01,0,0,1475.6,518.8,1453.12,413.99,
530388083.37,21.53,0,19.71,0.04,0,0,726.97,691.5,727.08,406.47,
530388073.30,16.71,0,16.55,0.01,0,0,569.17,319.02,563.71,169.02,
530388063.22,11.34,0.01,11.45,0.43,0,0,438.87,143.75,435.47,143.75,
530388053.16,21.39,0,20.81,0,0,0,559.41,314.27,559.22,314.24,
530388043.13,14.61,0,14.16,0,0,0,746.42,238.56,744.31,238.56,
530388033.06,53.39,0,53.61,0,0,0,1703.35,1138.33,1707.34,1138.33,
530388022.99,10.47,0,10.49,0.04,0,0,465.19,303.21,514.18,303.21,
530388012.93,29.6,0.01,28.6,0.1,0,0,2611.5,456.2,2610.33,456.2,
530388002.90,95.2,0.09,93.85,40.8,0,0,2024.4,1760.16,2033.93,1760.16,
530387992.88,18.28,0,18.94,0.01,0,0,2498.84,636.18,2434.37,636.18,
530387982.85,16.98,0,15.26,0.01,0,0,1589,798.99,1559.62,798.99,
530387972.83,16.24,0,17.22,0,0,0,2321.54,797.87,2328.31,797.88,
530387962.76,23.47,0.01,20.79,0.45,0,0,2323.44,795,2315.95,795,
530387952.61,197.91,10.12,190.25,163.48,0,0,1641.05,685.9,1631.94,685.9,
530387942.50,41.86,0,41.38,0,0,0,2620.21,973.04,2620.74,973.04,
530387932.37,18.15,0,17.66,0.01,0,0,2080.82,403.96,2075.47,403.96,
530387922.24,22.2,0,21.89,0.07,0,0,1723.28,1326.83,1759.55,526.83,
530387912.17,25.46,0,25.62,0.06,0,0,1034.77,876.81,1016.83,476.81,
530387902.15,17.8,0.03,19.01,1.72,0,0,467.16,327.81,465.14,177.81,
530387892.13,10.83,0,9.83,0.02,0,0,338.3,110.94,336.43,110.94,
530387882.10,33.53,0.08,33.18,0.93,0,0,756.42,336.13,752.3,336.13,
530387872.08,20.35,0.02,20.61,1.57,0,0,291.39,154.49,287.61,154.49,
530387862.06,44.23,0,43.76,0.02,0,0,1682.21,835.94,1671.71,835.94,
530387851.94,31.34,0.01,29.14,0.1,0,0,900.15,584.81,933.79,584.81,
530387841.84,11.72,0,12.41,0,0,0,1359.99,338.4,1375.18,338.4,
530387831.73,56.22,0,55.98,0,0,0,2565.63,1189.34,2571.17,1189.34,
530387821.61,51.81,0,52.63,0,0,0,2462.43,1242.09,2468.06,1242.09,
530387811.49,14.68,0,14.11,0,0,0,1622.93,638.77,1567.85,638.77,
530387801.37,17.24,0,16.98,0.02,0,0,2192.75,708.54,2198.05,708.54,
530387791.25,20.76,0,20.46,0.4,0,0,2349.21,797.41,2332.6,797.41,
530387781.18,18.85,0,17.5,0.01,0,0,2333.93,787.5,2327.6,787.5,
